tweet_id,airline_sentiment,text
570009713447825408,neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
570009035455344640,neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
570006886012973056,positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
570004391731847169,neutral,@VirginAmerica wish you flew out of Atlanta... Soon?
570001194900426752,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
570000071644872704,neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
569996412286582784,negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
569996245462159361,positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
569990222609412097,positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
569990163209850881,neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
569989504431316993,neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
569989321698074624,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
569989034501500928,negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
569987622484848640,neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
569986782567071744,neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
569986348041547778,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
569982307634794497,neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
569976620158578688,negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
569973821396152323,negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
569972508499283968,positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
569967019958730753,negative,@VirginAmerica everything was fine until you lost my bag
569961866224652288,neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
569949891163615232,neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
569948966873370625,neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
569946362126602240,negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
569942903683813376,positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
569941957490774016,positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
569940834994401280,neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
569940323746516993,neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
569935232033366017,negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
569934395865493504,neutral,@VirginAmerica what happened to Doom?!
569933816963342337,negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
569933777931145216,positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
569933405506310144,negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
569933360564342784,negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
569929243146088448,negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
569926998824394752,negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
569923394990419968,neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
569922008588222465,neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
569920824905306113,neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
569919041244147712,negative,@VirginAmerica Why is the site down?  When will it be back up?
569915941192015872,neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
569913339427434496,neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
569911816937033728,negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
569911674158731264,negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
569911218942517248,neutral,@VirginAmerica why is flight 345 redirected?
569910981868060673,negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
569909224521641984,negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
569907336485019648,negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
569896805611089920,negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
569894449620369408,negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
569894407001939968,neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
569892199690678272,negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
569891469210755074,neutral,@VirginAmerica check out new music http://t.co/maRcnOCWzn
569891436100874241,negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
569887310713479168,negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
569887049446076416,positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
569884551712886785,negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
569884407852437504,negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
569881548515708928,neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
569873669700358144,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
569873668131717120,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
569873665640292353,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
569873664612704256,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
569872058613673984,positive,@VirginAmerica Have a great week 🌞✈
569861209781989377,positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
569847920192655361,negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
569814339785338880,positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
569777607371128834,positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
569774078233419776,positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
569770363623575552,positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
569748316776325120,negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
569741221783957504,negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
569737603617943552,negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
569714127792254976,positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
569675144353828864,positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
569674358135914496,neutral,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
569666477265018881,negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
569652497947734017,positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
569649116487290880,neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
569643262459269120,neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
569642845516275712,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
569634318349246464,negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
569633630978310145,neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
569633279546036224,negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
569630092273410048,negative,@VirginAmerica Another delayed flight? #likingyoulessandless
569627480425766912,negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
569625739231948800,positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
569625609799774208,neutral,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
569620102389350401,positive,@VirginAmerica always!!! Xoxo
569619569372823552,negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
569618527948115968,negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
569616490380439552,positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
569615109363929088,neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
569614365755899905,negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
569614024578600960,positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
569609971383586817,negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
569608328998887424,negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
569599867716132864,positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
569596445680115712,positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
569596097540132864,negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
569594386066984960,negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
569586660909973504,neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
569580805036453888,positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
569575679722786816,neutral,@VirginAmerica is your website ever coming back online?
569575003248676864,neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
569574973662232576,neutral,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
569574961158815745,neutral,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
569572942381649920,negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
569572740723712001,negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
569566981835218944,negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
569564853460807680,negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
569564610837086209,negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
569562202405019650,negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
569541127340040192,negative,@VirginAmerica is the website down?
569540405676654592,negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
569494748341407744,negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
569482263345307648,neutral,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
569477692166316033,negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
569461469042966528,negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
569459618881019905,neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
569452063920226304,neutral,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
569447071910105089,neutral,@VirginAmerica Lister to my show my on Monday 1230 130
569429411646156800,neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
569369239183872000,negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
569368160291463168,negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
569356387785900032,neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.
569354267854704641,positive,@VirginAmerica Thank you for the follow
569351220097216512,negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
569348775631675392,negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
569324558999691264,neutral,@VirginAmerica @TTINAC11 I DM you
569323106210152448,neutral,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
569323082701275138,negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
569318651502989312,negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
569318130356502528,positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
569316358845911040,positive,@VirginAmerica Only way to fly! #Elevate #Gold
569311498301870080,neutral,@VirginAmerica If only you guys had flights from CMH.
569311060903268352,negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
569310635986546688,negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
569305113589714944,neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
569304436612444160,positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
569304208534597632,neutral,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
569304030847090688,negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
569303931916038144,negative,@VirginAmerica you suck!
569298165855338497,positive,@VirginAmerica thanks!
569290361870426112,negative,@VirginAmerica Just DM'd. Same issue persisting.
569282249717194754,negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
569277854950817792,negative,@VirginAmerica trying to book a flight &amp; your site is down 😁
569277352129138688,negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
569263837448269826,negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
569262527281913857,positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
569262225900359680,negative,@VirginAmerica Your website is down and I'm trying to check in!
569261347688607744,positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
569261128532041728,neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
569260526976544768,positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
569253311813185537,positive,@VirginAmerica Keep up the great work :)
569253236093267969,positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
569250469178175488,positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
569248437050302464,neutral,@VirginAmerica can you please get me to the new york area before monday afternoon
569248400836726786,positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
569247769166266368,negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
569247394002563072,negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
569244860286263297,negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
569240250192670720,positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
569238877178716161,negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
569237252154372097,negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
569236471690829825,neutral,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
569236251129163777,negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
569230983075115010,negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
569229785500680192,negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
569226875349835776,negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
569224234150404096,negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
569223788639821824,negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
569222494952886272,positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
569221440794271745,positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
569221156504530944,negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
569220232293720066,neutral,"@VirginAmerica it’s just a bug report, guys"
569218762907324416,negative,@VirginAmerica hold times at call center are a bit much
569212570478911489,positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
569211675108179968,negative,@VirginAmerica Site down? #help
569209566715469824,positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
569208480793567233,positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
569205125278859265,positive,@VirginAmerica thanks so much!
569204272795004928,negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
569202691185909760,positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
569201943131738113,positive,@VirginAmerica Very nicely done. 👏
569200619430420480,positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
569200606595952640,negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
569198782421663745,negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
569198104806699008,positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
569197967959154688,positive,@VirginAmerica sounds like fun !
569197611393163264,neutral,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
569197515993534464,neutral,@virginamerica spruce moose!
569192778468626432,negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
569182336715243520,negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
569180623165915137,positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
569179517522046977,negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
569176777056079874,positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
569165709516759042,positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
569110766235877376,positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
569083230361673728,negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
569028851860254720,negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
569022319437357056,negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
569020707113476096,positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
569018352464588800,neutral,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
569011849976348672,positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
568989005162766337,neutral,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
568977439398821888,neutral,@VirginAmerica any plans to start flying direct from DAL to LAS?
568977175149293570,neutral,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
568972394297077760,positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
568945958970531840,negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
568945265899483136,neutral,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
